Chemin : Leeds (Longitude : -1.5491 | Latitude : 53.8008) to Zaragoza (Longitude : -0.8773 | Latitude : 41.6488)
"[-1.5491, 53.8008, 13759200, 16]",1
"[-1.5491, 53.8008, 13759200, 15]",1
"[-1.5491, 53.8008, 13759200, 14]",1
"[-1.5491, 53.8008, 13759200, 13]",1
"[-1.5491, 53.8008, 13759200, 12]",1
"[-1.5491, 53.8008, 13759200, 11]",1
"[-1.5491, 53.8008, 13759200, 10]",1
"[-1.5491, 53.8008, 13759200, 9]",0
"[358.4016200538248, 53.05666595992373, 13762800, 9]",0
"[358.3260624699176, 52.313252995911085, 13766400, 9]",0
"[358.00347329177407, 51.47778268441962, 13770000, 9]",0
"[357.7202735905803, 50.647240385532115, 13773600, 9]",0
"[357.4597092746145, 49.849612987624745, 13777200, 9]",0
"[357.1338058265567, 49.09107046643925, 13780800, 9]",0
"[356.89640147011175, 48.3179515608007, 13784400, 9]",0
"[356.6862963807431, 47.54767972750217, 13788000, 9]",0
"[356.48895608238445, 46.81497849320546, 13791600, 9]",0
"[356.2700451955791, 46.09039075857303, 13795200, 9]",0
"[356.01928762199736, 45.342245474337886, 13798800, 9]",0
"[355.8359398685052, 44.63240832275358, 13802400, 9]",0
"[355.88585500553063, 44.0172870931795, 13806000, 9]",0
"[355.8937807268436, 43.36710877855998, 13809600, 9]",0
"[355.85751504349207, 42.67946625468463, 13813200, 9]",1
"[355.85751504349207, 42.67946625468463, 13813200, 8]",1
"[355.85751504349207, 42.67946625468463, 13813200, 7]",0
"[356.18331821719084, 42.36224800503595, 13816800, 7]",0
"[356.69801571038624, 42.1566852991666, 13820400, 7]",0
"[357.19067802559346, 41.93809573997119, 13824000, 7]",0
"[357.5355742466468, 41.63979058342363, 13827600, 7]",0
"[358.03641202477684, 41.415059556981404, 13831200, 7]",1
"[358.03641202477684, 41.415059556981404, 13831200, 6]",0
"[358.40786863027483, 41.340575942936, 13834800, 6]",1
"[358.40786863027483, 41.340575942936, 13834800, 5]",0
"[358.64758136541786, 41.44190655522209, 13838400, 5]",0
"[358.88846061061577, 41.541942144395655, 13842000, 5]",0
Chemin : Tokyo (Longitude : 139.6917 | Latitude : 35.6895) to Seoul (Longitude : 126.978 | Latitude : 37.5665)
"[139.6917, 35.6895, 18813600, 16]",1
"[139.6917, 35.6895, 18813600, 15]",1
"[139.6917, 35.6895, 18813600, 14]",1
"[139.6917, 35.6895, 18813600, 13]",1
"[139.6917, 35.6895, 18813600, 12]",1
"[139.6917, 35.6895, 18813600, 11]",1
"[139.6917, 35.6895, 18813600, 10]",1
"[139.6917, 35.6895, 18813600, 9]",1
"[139.6917, 35.6895, 18813600, 8]",1
"[139.6917, 35.6895, 18813600, 7]",1
"[139.6917, 35.6895, 18813600, 6]",1
"[139.6917, 35.6895, 18813600, 5]",1
"[139.6917, 35.6895, 18813600, 4]",1
"[139.6917, 35.6895, 18813600, 3]",1
"[139.6917, 35.6895, 18813600, 2]",1
"[139.6917, 35.6895, 18813600, 1]",1
"[139.6917, 35.6895, 18813600, 0]",0
"[139.057343810122, 35.68011108243421, 18817200, 0]",0
"[138.42570617952657, 35.670722164868415, 18820800, 0]",0
"[137.79639662277236, 35.661528490023265, 18824400, 0]",0
"[137.16390625543022, 35.65365456963481, 18828000, 0]",0
"[136.51523313538257, 35.64853626057904, 18831600, 0]",0
"[135.8676597957267, 35.64244668418889, 18835200, 0]",0
"[135.30717181411933, 35.696513899136725, 18838800, 0]",0
"[134.74363405308185, 35.75223946312587, 18842400, 0]",0
"[134.1703243534066, 35.81271506397315, 18846000, 0]",0
"[133.59584814367633, 35.872671666321665, 18849600, 0]",0
"[133.0200101811704, 35.931657001335786, 18853200, 0]",0
"[132.44248671011064, 35.98986631173616, 18856800, 0]",0
"[131.900072214953, 35.95263934351995, 18860400, 0]",0
"[131.3594717414067, 35.91683591147376, 18864000, 0]",0
"[130.82081380252907, 35.88239423220325, 18867600, 0]",0
"[130.28390315559966, 35.84930935943958, 18871200, 0]",0
"[129.7460236695042, 35.81279159624181, 18874800, 0]",0
"[129.20140466729396, 35.76080532155791, 18878400, 0]",0
"[128.5839554538108, 35.646391018820275, 18882000, 0]",2
"[128.5839554538108, 35.646391018820275, 18882000, 1]",0
"[128.15770255333888, 35.62728942791057, 18885600, 1]",0
"[127.7321589478176, 35.60818783700086, 18889200, 1]",0
"[127.30593320685824, 35.58861913844904, 18892800, 1]",2
"[127.30593320685824, 35.58861913844904, 18892800, 2]",2
"[127.30593320685824, 35.58861913844904, 18892800, 3]",2
"[127.30593320685824, 35.58861913844904, 18892800, 4]",2
"[127.30593320685824, 35.58861913844904, 18892800, 5]",2
"[127.30593320685824, 35.58861913844904, 18892800, 6]",2
"[127.30593320685824, 35.58861913844904, 18892800, 7]",2
"[127.30593320685824, 35.58861913844904, 18892800, 8]",2
"[127.30593320685824, 35.58861913844904, 18892800, 9]",2
"[127.30593320685824, 35.58861913844904, 18892800, 10]",2
"[127.30593320685824, 35.58861913844904, 18892800, 11]",2
"[127.30593320685824, 35.58861913844904, 18892800, 12]",2
"[127.30593320685824, 35.58861913844904, 18892800, 13]",2
"[127.30593320685824, 35.58861913844904, 18892800, 14]",2
"[127.30593320685824, 35.58861913844904, 18892800, 15]",2
"[127.30593320685824, 35.58861913844904, 18892800, 16]",0
"[127.37689750566318, 35.654803722782866, 18896400, 16]",0
"[127.44721429291184, 35.723449840284246, 18900000, 16]",1
"[127.44721429291184, 35.723449840284246, 18900000, 15]",1
